mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10604634284973144,0.017492502407642028,0.004948949813842774,0.0004127507399275758,0.1,{'regressor__alpha': 0.1},-25511918.015387967,-77564018.47683632,-13953673.721515715,-16058159.573787427,-18039436.612917583,-30225441.280089002,23988077.00818701,3
0.07026801109313965,0.010808189228788252,0.004940414428710937,0.00047940615036992255,1.0,{'regressor__alpha': 1.0},-25417410.53899993,-77569481.75926268,-13923772.872712413,-16030629.568957638,-17806665.302145544,-30149592.008415647,24025027.084728558,2
0.0995896339416504,0.008358483381975602,0.004699516296386719,0.000539417857475331,10.0,{'regressor__alpha': 10.0},-24576563.65620546,-77739586.25442018,-13647783.83782887,-15829360.362084815,-15938886.914226526,-29546436.20495317,24385938.81444986,1
